,formatted_readme,summary,prompt_text,generated_summary
0,"Phillips auction house brings a fresh contemporary focus to the defining aesthetic movements of the last two centuries, with a specialized knowledge in what& 39;s happening right now. Our international sales are the building blocks of a great collection, for both savvy collectors and auction-curious newcomers alike.<br> <br>Now, participating in our auctions is easier than ever. The Phillips app allows you to browse upcoming sales, track your favorite lots and place bids in our live auctions from anywhere on your Android device. Welcome to the first truly mobile auction saleroom.","Browse upcoming sales, track your favorite lots, and place bids in our auctions.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Phillips auction house brings a fresh contemporary focus to the defining aesthetic movements of the last two centuries, with a specialized knowledge in what& 39;s happening right now. Our international sales are the building blocks of a great collection, for both savvy collectors and auction-curious newcomers alike.<br> <br>Now, participating in our auctions is easier than ever. The Phillips app allows you to browse upcoming sales, track your favorite lots and place bids in our live auctions from anywhere on your Android device. Welcome to the first truly mobile auction saleroom.

# ### Response:
#","Phillips auction house brings a fresh contemporary focus to the defining aesthetic movements of the last two centuries, with a specialized knowledge in what&#39;s happening right now.<br><br>Our international sales are the building blocks of a great collection, for both savvy collectors and auction-curious newcomers alike.<br><br>Now, participating in our auctions is easier than ever. The Phillips app allows you to brow"
1,"Play Free, Become a Superstar! Enjoy a whole new casino experience like no other! <br><br>A variety of fun to play slot games and plenty of free gifts await you!<br><br>Play together with your fellow players in the room and interact with them! <br><br>Hit BIG, win unique Jackpots and share Treat Tickets with fellow players, which will make you a superstar! Have fun!<br><br><br>Please Note: Take5 Slots is free to play, but you can enjoy more by purchasing virtual coins.<br><br>* Take5 Slots is intended for use by those 21 or older.<br>* Take5 Slots does not offer real money gambling or an opportunity to win real money or prizes. <br>* Practice or success at social casino gaming does not imply future success at real money gambling.",Every slot in Take5 is unlocked to play for all!.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Play Free, Become a Superstar! Enjoy a whole new casino experience like no other! <br><br>A variety of fun to play slot games and plenty of free gifts await you!<br><br>Play together with your fellow players in the room and interact with them! <br><br>Hit BIG, win unique Jackpots and share Treat Tickets with fellow players, which will make you a superstar! Have fun!<br><br><br>Please Note: Take5 Slots is free to play, but you can enjoy more by purchasing virtual coins.<br><br>* Take5 Slots is intended for use by those 21 or older.<br>* Take5 Slots does not offer real money gambling or an opportunity to win real money or prizes. <br>* Practice or success at social casino gaming does not imply future success at real money gambling.

# ### Response:
#","Play Free, Become a Superstar! Enjoy a whole new casino experience like no other!<br><br>A variety of fun to play slot games and plenty of free gifts await you!<br><br>Play together with your fellow players in the room and interact with them! <br><br>Hit BIG, win unique Jackpots and share Treat Tickets with fellow players, which will make you a superstar! Have fun!"
2,"By changing the region setting, your e-scooter gets new features, such as a flashing brake light.",Change the region setting of your e-scooter from German to international.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# By changing the region setting, your e-scooter gets new features, such as a flashing brake light.

# ### Response:
#","The free app for the e-scooter Ninebot MAX, Ninebot MAX G30, Ninebot MAX G30L, Ninebot MAX G30H, Ninebot MAX G30S, Ninebot MAX G30LH, Ninebot MAX G30S, Ninebot MAX G30S-H, Ninebot MAX G30S-LH, Ninebot MAX G30S"
3,"The Las Vegas Review-Journal app gives you breaking news updates on what& 39;s happening in Southern Nevada, the nation and around the world.<br><br>FEATURES<br><br>• Access: The updated RJ app mirrors the experience of using the reviewjournal.com mobile site. All website content is available, including exclusive podcasts, videos and livestreams<br>• News alerts: Users can be notified about breaking developments on the biggest news, business and sports stories<br>• Social: Never miss a Twitter or Facebook post<br>• LiveCam: View real-time construction at Allegiant Stadium, future home of the Las Vegas Raiders<br>• Sports Extra: Extended coverage of the Raiders, Golden Knights, Rebels, Aces, Aviators and Lights.<br>• ePaper: View or download the replica version of the complete daily newspaper, with classifieds, obituaries, comics and much more","The Las Vegas Review-Journal: breaking news, alerts, and the daily e-edition.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# The Las Vegas Review-Journal app gives you breaking news updates on what& 39;s happening in Southern Nevada, the nation and around the world.<br><br>FEATURES<br><br>• Access: The updated RJ app mirrors the experience of using the reviewjournal.com mobile site. All website content is available, including exclusive podcasts, videos and livestreams<br>• News alerts: Users can be notified about breaking developments on the biggest news, business and sports stories<br>• Social: Never miss a Twitter or Facebook post<br>• LiveCam: View real-time construction at Allegiant Stadium, future home of the Las Vegas Raiders<br>• Sports Extra: Extended coverage of the Raiders, Golden Knights, Rebels, Aces, Aviators and Lights.<br>• ePaper: View or download the replica version of the complete daily newspaper, with classifieds, obituaries, comics and much more

# ### Response:
#","The Las Vegas Review-Journal app gives you breaking news updates on what&#39;s happening in Southern Nevada, the nation and around the world.<br><br>FEATURES<br><br>• Access: The updated RJ app mirrors the experience of using the reviewjournal.com mobile site. All website content is available, including exclusive podcasts, videos and livestreams<br>• News alerts: Users can be not"
4,"ABOUT IMOU LIFE<br>Imou Life App is specially created for Imou cameras, doorbells, sensors, NVR and other smart IoT products, committed to creating a secure, simple, and smart life for everyone.<br><br>HIGHLIGHTED FEATURES<br>[Remote View and Control]<br>- Watch live view or recorded playback from anywhere<br>- Real-time communication via two-way talk<br>- Turn on the built-siren or spotlight to warn off intruders<br><br>[Intelligent Alert]<br>- Get instant alerts whenever something happens<br>- Avoid false alert with AI human detection<br>- Set alert schedule<br><br>[Security Guarantee]<br>- Emphasize user privacy and comply with GDPR regulations<br>- Encrypted audio and video transmission<br>- Store the video to the cloud, so you can view it even if your device is lost<br><br>[Easy Sharing]<br>- Share device access to your friends and relatives<br>- Custom share permissions<br>- Share video clips and happy moments<br><br>CONTACT US<br>Official website: www.imoulife.com<br>Customer Service: service.global you have any questions or suggestions, feel free to contact us! Thank you for your support!",Watch over your home from anywhere in the world with the Imou Life app.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# ABOUT IMOU LIFE<br>Imou Life App is specially created for Imou cameras, doorbells, sensors, NVR and other smart IoT products, committed to creating a secure, simple, and smart life for everyone.<br><br>HIGHLIGHTED FEATURES<br>[Remote View and Control]<br>- Watch live view or recorded playback from anywhere<br>- Real-time communication via two-way talk<br>- Turn on the built-siren or spotlight to warn off intruders<br><br>[Intelligent Alert]<br>- Get instant alerts whenever something happens<br>- Avoid false alert with AI human detection<br>- Set alert schedule<br><br>[Security Guarantee]<br>- Emphasize user privacy and comply with GDPR regulations<br>- Encrypted audio and video transmission<br>- Store the video to the cloud, so you can view it even if your device is lost<br><br>[Easy Sharing]<br>- Share device access to your friends and relatives<br>- Custom share permissions<br>- Share video clips and happy moments<br><br>CONTACT US<br>Official website: www.imoulife.com<br>Customer Service: service.global you have any questions or suggestions, feel free to contact us! Thank you for your support!

# ### Response:
#","<b>Imou Life App is specially created for Imou cameras, doorbells, sensors, NVR and other smart IoT products, committed to creating a secure, simple, and smart life for everyone.</b><br><br>HIGHLIGHTED FEATURES<br>- Watch live view or recorded playback from anywhere<br>- Real-time communication via two-way talk<br>- Turn on the built"
5,Value Added Tax (VAT) calculator <br><br>This calculator is easy and comfortable. <br><br>You to adjust the tax rate can be calculated.,This app can conveniently calculate VAT.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Value Added Tax (VAT) calculator <br><br>This calculator is easy and comfortable. <br><br>You to adjust the tax rate can be calculated.

# ### Response:
#","Value Added Tax (VAT) calculator <br><br>This calculator is easy and comfortable. <br><br>You to adjust the tax rate can be calculated. <br><br>You can calculate the tax amount of the goods and services, the tax amount of the goods and services, the tax amount of the goods and services, the tax amount of the goods and services, the tax amount of the goods and services, the tax amount of the goods and services, the"
6,"Welcome to poqe video chat app!<br><br>Private live video chats with millions of exciting and new people, and find new friends around the world.<br><br>Features<br>😍 Gender and location filters to make the best of your video chats<br>🤖 Real-time text translation on video chat<br>🔒 Private and safe video chats<br>🤙 Add your friends so you can connect with them anytime<br>💬 Send private messages<br><br>Privacy<br>🙅 Report users that are acting against our policy<br>🚫 Please respect other users and follow our guidelines<br>📍 Your location will never be fully disclosed<br><br>We hope you& 39;ll enjoy using Poqe the Random Live Video Chatting App!",Random video chat to meet new friends! Start Chatting now and enjoy!.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Welcome to poqe video chat app!<br><br>Private live video chats with millions of exciting and new people, and find new friends around the world.<br><br>Features<br>😍 Gender and location filters to make the best of your video chats<br>🤖 Real-time text translation on video chat<br>🔒 Private and safe video chats<br>🤙 Add your friends so you can connect with them anytime<br>💬 Send private messages<br><br>Privacy<br>🙅 Report users that are acting against our policy<br>🚫 Please respect other users and follow our guidelines<br>📍 Your location will never be fully disclosed<br><br>We hope you& 39;ll enjoy using Poqe the Random Live Video Chatting App!

# ### Response:
#","Welcome to poqe video chat app!<br><br>Private live video chats with millions of exciting and new people, and find new friends around the world.<br><br>Features<br>😍 Gender and location filters to make the best of your video chats<br>🤖 Real-time text translation on video chat<br>🔒 Private and safe video chats<br>🤙 Add your"
7,Send money to over 90 destinations with the best rates and prices on the market,Your best online money transfer solution.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Send money to over 90 destinations with the best rates and prices on the market

# ### Response:
#","<b>Send money abroad with the best rates and prices on the market</b><br><br>Send money abroad with the best rates and prices on the market, with the money transfer app from <b>MoneyGram</b>, the world&#39;s second-largest money transfer company, With the MoneyGram app, you can send money to over 90 destinations worldwide, including India, Pakistan, Bangladesh, Philippines, Mexico"
8,"This free app content some Superheroes Skins for Minecraft with Addon and map pack for Hello Neighbor, and this app just made for fans.<br><br>Disclaimer:<br>This is an unofficial application that not affiliated in any way with respective owners.<br>The Name, Brand and the Assets are all property of their respective owners.",Please Download Skins for Minecraft Hello My Neighbor Now!.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# This free app content some Superheroes Skins for Minecraft with Addon and map pack for Hello Neighbor, and this app just made for fans.<br><br>Disclaimer:<br>This is an unofficial application that not affiliated in any way with respective owners.<br>The Name, Brand and the Assets are all property of their respective owners.

# ### Response:
#","Hello Neighbor is a stealth horror game about sneaking into your neighbor&#39;s house to figure out what horrible secrets make him so strange...<br><br>This free app content some Superheroes Skins for Minecraft with Addon and map pack for Hello Neighbor, and this app just made for fans.<br><br>Disclaimer:<br>This is an unofficial application that not affiliated in any way with"
9,"Elite Trainr is a personal training management platform connecting athletes with their trainers.<br><br>The Elite Trainr - Athletes application gives athletes real time access to:<br><br>• Workout Programs<br>• Meal Plans<br>• Supplement Protocols<br>• Cardio Programs<br><br>Additional Features include:<br><br>1) Track your progress by checking in regularly and uploading progress pictures as well as body measurements. <br><br>2) Improve your workouts week to week by tracking sets, weights and reps.<br><br>3) Communicate directly with your trainer and get answers to your programs questions quickly.<br><br>Elite Trainr promotes fitness accountability and motivation by keeping you connected to your goals and fitness plan.",Elite Personal Training Management Platform.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Elite Trainr is a personal training management platform connecting athletes with their trainers.<br><br>The Elite Trainr - Athletes application gives athletes real time access to:<br><br>• Workout Programs<br>• Meal Plans<br>• Supplement Protocols<br>• Cardio Programs<br><br>Additional Features include:<br><br>1) Track your progress by checking in regularly and uploading progress pictures as well as body measurements. <br><br>2) Improve your workouts week to week by tracking sets, weights and reps.<br><br>3) Communicate directly with your trainer and get answers to your programs questions quickly.<br><br>Elite Trainr promotes fitness accountability and motivation by keeping you connected to your goals and fitness plan.

# ### Response:
#",Elite Trainr is a personal training management platform connecting athletes with their trainers.<br><br>The Elite Trainr - Athletes application gives athletes real time access to:<br><br>• Workout Programs<br>• Meal Plans<br>• Supplement Protocols<br>• Cardio Programs<br><br>Additional Features include:<br><br>1) Track your progress by checking in regularly and
