,formatted_readme,summary,prompt_text,generated_summary
0,"- improve your math with fun games, free mathematics app for everyone.<br><br>It allows to improve mental calculation skills easily and quickly.<br><br>Learn and train:<br><br>- Addition<br>- Subtraction<br>- Multiplication<br>- Division<br>- Exponentiation<br>- Square Root<br><br>Keep your brain fit through regular math exercises.<br><br>It has been designed suitable for both the smartphones and the tablets.<br><br>Language: English.","- improve your math with fun games, free mathematics app for everyone.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# - improve your math with fun games, free mathematics app for everyone.<br><br>It allows to improve mental calculation skills easily and quickly.<br><br>Learn and train:<br><br>- Addition<br>- Subtraction<br>- Multiplication<br>- Division<br>- Exponentiation<br>- Square Root<br><br>Keep your brain fit through regular math exercises.<br><br>It has been designed suitable for both the smartphones and the tablets.<br><br>Language: English.

# ### Response:
#","- improve your math with fun games, free mathematics app for everyone.<br><br>It allows to improve mental calculation skills easily and quickly.<br><br>Learn and train:<br><br>- Addition<br>- Subtraction<br>- Multiplication<br>- Division<br>- Exponentiation<br>- Square Root<br><br>Keep your brain fit through regular math exercises.<br><br>"
1,"Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family, but it is not easy.<br><br>On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.",be careful of insects larger than you and stronger creatures.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away. You have to pass all the levels to find your family, but it is not easy.<br><br>On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.

# ### Response:
#","Insect Evolution is a casual mobile game for passing levels; you are a little ant, lost in the desert, and the journey home is far away.<br><br>On the road you need to eat insects smaller than you to grow up, but at the same time don’t be eaten, be careful of insects larger than you and stronger creatures.<br><br>The game is very simple, you need to swipe to eat insects smaller than you"
2,"With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient& 39;s mailbox!<br><br>Download the app today and surprise someone you love.<br><br>As simple as this:<br><br>• Select a picture from your photo album or take a new photo with the camera<br>• Be creative and design the front of the card with custom texts and emojis<br>• Write a personal greeting on the back with the help of stylish fonts and colours<br>• Pay by Swish or credit card<br>• PostNord Sweden will print and send the postcard to the recipient you have chosen<br>• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days. To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.<br><br>If you have questions regarding this app please contact PostNord Customer Service by Email: kundservice.digital.se","Send postcards to everyone in the world, directly to the recipient's mailbox!.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient& 39;s mailbox!<br><br>Download the app today and surprise someone you love.<br><br>As simple as this:<br><br>• Select a picture from your photo album or take a new photo with the camera<br>• Be creative and design the front of the card with custom texts and emojis<br>• Write a personal greeting on the back with the help of stylish fonts and colours<br>• Pay by Swish or credit card<br>• PostNord Sweden will print and send the postcard to the recipient you have chosen<br>• If you send your postcard within Sweden before 16.00 Central European Time on a weekday, the card will arrive within two days. To addresses outside of Sweden, it will take a few days longer depending on the recipient’s country.<br><br>If you have questions regarding this app please contact PostNord Customer Service by Email: kundservice.digital.se

# ### Response:
#","Send real postcards to everyone in the world, directly to the recipient&#39;s mailbox!<br><br>With Postcards, you can send real physical postcards to everyone in the world, directly to the recipient&#39;s mailbox!<br><br>Download the app today and surprise someone you love.<br><br>As simple as this:<br><br>• Select a picture from your photo album or take a new photo"
3,"The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!<br><br>Our 24/7 Service includes:-<br><br> Request services for new connections, transfers,<br>temporary service, account upgrades, etc.<br> Outage reporting and tracking<br> View and download your monthly bills<br> Bill payments &amp; Top Ups<br> Register and manage multiple JPS accounts<br> Energy usage management<br><br>Join the JPS Community online! Sign up with your email<br>address or mobile number. If you are a customer, access<br>your JPS customer account fast with your Ebill email<br>address","MyJPS Mobile app to view account info, pay your bills, and track outages.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!<br><br>Our 24/7 Service includes:-<br><br> Request services for new connections, transfers,<br>temporary service, account upgrades, etc.<br> Outage reporting and tracking<br> View and download your monthly bills<br> Bill payments &amp; Top Ups<br> Register and manage multiple JPS accounts<br> Energy usage management<br><br>Join the JPS Community online! Sign up with your email<br>address or mobile number. If you are a customer, access<br>your JPS customer account fast with your Ebill email<br>address

# ### Response:
#","The new MyJPS Mobile fits everyone’s lifestyle, access your JPS account from anywhere , anytime!<br><br>Our 24/7 Service includes:-<br><br> Request services for new connections, transfers,<br>temporary service, account upgrades, etc.<br> Outage reporting and tracking<br> View and download your monthly bills<br>�"
4,"The TV6 &amp; FOX UP News app is your way to stay on top of local news and weather when you& 39;re on the go. From breaking news in your community to severe weather alerts before a storm strikes, it& 39;s everything you need to know right in your phone.<br><br>This app is ad supported.","Breaking news, weather alerts, sports and deals from around Michigan's UP.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# The TV6 &amp; FOX UP News app is your way to stay on top of local news and weather when you& 39;re on the go. From breaking news in your community to severe weather alerts before a storm strikes, it& 39;s everything you need to know right in your phone.<br><br>This app is ad supported.

# ### Response:
#","The TV6 &amp; FOX UP News app is your way to stay on top of local news and weather when you&#39;re on the go.<br><br>From breaking news in your community to severe weather alerts before a storm strikes, it&#39;s everything you need to know right in your phone.<br><br>This app is ad supported.<br><br>FEATURES:<br><br>• Breaking news alert"
5,"Always keep RWU close at hand with our new mobile app. <br><br>You& 39;ll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. <br><br>Login and receive your grades and course schedule right on your mobile device. <br><br>New to RWU? Check out our map option to help you navigate around campus.",Always keep Roger Williams University close at hand with our new mobile app.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Always keep RWU close at hand with our new mobile app. <br><br>You& 39;ll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule. <br><br>Login and receive your grades and course schedule right on your mobile device. <br><br>New to RWU? Check out our map option to help you navigate around campus.

# ### Response:
#","Always keep RWU close at hand with our new mobile app. <br><br>You&#39;ll have access to campus news and events, sports schedules, the Hawks Herald and the shuttle schedule.<br><br>Login and receive your grades and course schedule right on your mobile device.<br><br>New to RWU? Check out our map option to help you navigate around campus.<br><br>The app is free and available"
6,"&quot;Great power requires great responsibilities&quot;<br><br>The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.<br><br>Are you the one that we need? Or will you run?<br><br>Join the most epic superhero race to claim your power and face the endless journey in the world! <br>Stack the right power and transform into your favorite heroes to break through multiple challenges in your way to attack the final enemy. <br><br>The more powers you gather, the stronger you become. <br><br>Become the spider boy to detect the danger with the spider sense or transform into a powerful wizard with the flying superpower to rush through the obstacles with ease. <br><br>GAME FEATURE: <br>- Simple and funny gameplay: Running is all you have to do.<br>- Impressive 3d graphic <br>- Outstanding superhero theme<br>- Various heroes for various stair challenges<br><br>HOW TO PLAY <br>- Move your hero with one finger<br>- Collect your power and cross the bridge as fast as possible<br> <br>Fight and meet your opponents in the final area. The peace of the world lies in your hand.<br><br>Save the world now!!!!","Collect hero powers and rush through obstacles to win the race, Beware of traps!.","### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# &quot;Great power requires great responsibilities&quot;<br><br>The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.<br><br>Are you the one that we need? Or will you run?<br><br>Join the most epic superhero race to claim your power and face the endless journey in the world! <br>Stack the right power and transform into your favorite heroes to break through multiple challenges in your way to attack the final enemy. <br><br>The more powers you gather, the stronger you become. <br><br>Become the spider boy to detect the danger with the spider sense or transform into a powerful wizard with the flying superpower to rush through the obstacles with ease. <br><br>GAME FEATURE: <br>- Simple and funny gameplay: Running is all you have to do.<br>- Impressive 3d graphic <br>- Outstanding superhero theme<br>- Various heroes for various stair challenges<br><br>HOW TO PLAY <br>- Move your hero with one finger<br>- Collect your power and cross the bridge as fast as possible<br> <br>Fight and meet your opponents in the final area. The peace of the world lies in your hand.<br><br>Save the world now!!!!

# ### Response:
#",&quot;Great power requires great responsibilities&quot;<br><br>The world is on the verge of extinction and utmost chaos and it needs to be saved by an outstanding hero.<br><br>Are you the one that we need? Or will you run?<br><br>Join the most epic superhero race to claim your power and face the endless journey in the world! <br>Stack the right power and transform
7,"In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. First, you have to analyse the shape in front of you - some of them are tricky and you need to be clever to solve them. <br><br>Then you have to use precision and timing to spin the shape the right way to get the rings off. Then at last, you need to make sure you aim the figure just right, so the rings end up in the hole. If one of them ends up outside, you lose! <br><br>Don’t worry, you can retry the level if you don’t get it! While you play, you also collect coins that will unlock special rewards: like different colors of the rings, and special levels. You will never get bored again! <br><br>This game will test your intelligence, timing, and accuracy! Are you ready to be hooked?<br><br>---<br>From the studio that brought you other free games like Pull the Pin, Parking Jam 3D, Sandwich!, Clash of Blocks, Paint The Cube and more!<br><br>Stay in touch with us online:<br><br>&gt; Instagram: TikTok: Web: ",Get the rings off the hook! Unlock the rings and solve amazing puzzles!.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# In Slide Hoops, your goal is spin the metal shape around, and aim it so the colorful rings end up in the hole. First, you have to analyse the shape in front of you - some of them are tricky and you need to be clever to solve them. <br><br>Then you have to use precision and timing to spin the shape the right way to get the rings off. Then at last, you need to make sure you aim the figure just right, so the rings end up in the hole. If one of them ends up outside, you lose! <br><br>Don’t worry, you can retry the level if you don’t get it! While you play, you also collect coins that will unlock special rewards: like different colors of the rings, and special levels. You will never get bored again! <br><br>This game will test your intelligence, timing, and accuracy! Are you ready to be hooked?<br><br>---<br>From the studio that brought you other free games like Pull the Pin, Parking Jam 3D, Sandwich!, Clash of Blocks, Paint The Cube and more!<br><br>Stay in touch with us online:<br><br>&gt; Instagram: TikTok: Web:

# ### Response:
#","Slide Hoops is a fun and challenging puzzle game where you have to slide a metal shape around to make the colorful rings land in the hole, It&#39;s a great game for all ages, It&#39;s easy to play but hard to master, You have to be precise and use timing to get the rings off, You can retry the level if you don&#39;t get it, You can also collect coins to unlock"
8,Over 15 different truck sounds.<br>Just press the button and listen to all the sounds.<br><br>Longclick to save the sounds to a local folder to use in other apps !<br>Longclick to save as notification sound<br>Longclick to save as ringtone sound.<br>Loop sounds with the loop button at the top.<br><br>Any suggestions or questions ? Be sure to mails us !<br><br>Have fun and enjoy,Over 15 different truck sounds.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# Over 15 different truck sounds.<br>Just press the button and listen to all the sounds.<br><br>Longclick to save the sounds to a local folder to use in other apps !<br>Longclick to save as notification sound<br>Longclick to save as ringtone sound.<br>Loop sounds with the loop button at the top.<br><br>Any suggestions or questions ? Be sure to mails us !<br><br>Have fun and enjoy

# ### Response:
#",Truck Sounds is a collection of over 15 different truck sounds.<br>Just press the button and listen to all the sounds.<br><br>Longclick to save the sounds to a local folder to use in other apps !<br>Longclick to save as notification sound<br>Longclick to save as ringtone sound.<br>Loop sounds with the loop button at the top.<br><br>Any suggestions or questions ? Be sure to mails us
9,"<strong>Break every wall that stands in your way!<br>When you& 39;re angry and stressed,<br>release the rage with Wall breaker2</strong><br><br><font color="" 0000CD"">YOUTUBE</font><br> your coupon code on the YouTube channel.<br>Please click Subscribe and Like button.<br><br>We have added the long awaited features<br>-Skill Evolution System,<br>-Idle Game System<br>-Practice Mode System<br>-UI Optimization<br><br>We don& 39;t plan to stop there!!<br><br><font color="" FF0000"">Changing the time of the device will automatically result to a ban.<br>Please do not change the time to reset cooldowns of boxes.</font><br><br><font color="" 0000CD"">Home page</font><br><font color="" FF0000""> color="" FF0000""> color="" FF0000""> Introduction</strong>■■■■■<br><br><font color="" 0000CD"">This game was created for the following people!</font><br><br>▷ Those who have a hard time punching walls<br>▷ Those who secretly want to destroy things<br>▷ Those with horrible bosses<br>▷ When your paycheck is smaller than your bills<br>▷ Those who need anger management<br>▷ When you passionately want to do nothing<br>▷ When you fall trying to tie your shoe laces<br>▷ When you& 39;re in the toilet, constipated <br><br><strong>Smash the Walls 2 will handle it all.</strong><br><br>■■■■■<strong>How to Play</strong>■■■■■<br><br>▷ Find out how much damage you deal through practice mode!<br>▷ Level-up and destroy all the walls!<br>▷ Various stats and skills to create your own unique character.<br>▷ Become a top-ranker through the challenge mode.<br>▷ Escape from a variety of stages!<br>▷ Open boxes and unleash the powers of Troll Kim!<br><br>Your reviews are preciouse to us. Please rate the app.",Break every wall that stands in your way! When you're angry and stressed.,"### Instruction: You are an expert technical writer. Your task is to read the html description file of a Mobile android application and generate a concise and clear summary of the app description. The summary should describe:
	1.	The repository’s purpose or main functionality.
	2.	Key features or highlights.
	3.	Its intended audience or use cases.

Focus on being precise and informative, avoiding unnecessary details or jargon.

# ### Input:
# <strong>Break every wall that stands in your way!<br>When you& 39;re angry and stressed,<br>release the rage with Wall breaker2</strong><br><br><font color="" 0000CD"">YOUTUBE</font><br> your coupon code on the YouTube channel.<br>Please click Subscribe and Like button.<br><br>We have added the long awaited features<br>-Skill Evolution System,<br>-Idle Game System<br>-Practice Mode System<br>-UI Optimization<br><br>We don& 39;t plan to stop there!!<br><br><font color="" FF0000"">Changing the time of the device will automatically result to a ban.<br>Please do not change the time to reset cooldowns of boxes.</font><br><br><font color="" 0000CD"">Home page</font><br><font color="" FF0000""> color="" FF0000""> color="" FF0000""> Introduction</strong>■■■■■<br><br><font color="" 0000CD"">This game was created for the following people!</font><br><br>▷ Those who have a hard time punching walls<br>▷ Those who secretly want to destroy things<br>▷ Those with horrible bosses<br>▷ When your paycheck is smaller than your bills<br>▷ Those who need anger management<br>▷ When you passionately want to do nothing<br>▷ When you fall trying to tie your shoe laces<br>▷ When you& 39;re in the toilet, constipated <br><br><strong>Smash the Walls 2 will handle it all.</strong><br><br>■■■■■<strong>How to Play</strong>■■■■■<br><br>▷ Find out how much damage you deal through practice mode!<br>▷ Level-up and destroy all the walls!<br>▷ Various stats and skills to create your own unique character.<br>▷ Become a top-ranker through the challenge mode.<br>▷ Escape from a variety of stages!<br>▷ Open boxes and unleash the powers of Troll Kim!<br><br>Your reviews are preciouse to us. Please rate the app.

# ### Response:
#","<strong>Wall breaker 2 is back!<br><br>Wall breaker 2 is a game that you can play when you are angry and stressed,<br>When you are bored,<br>When you are tired,<br>When you are sad,<br>When you are angry,<br>When you are stressed,<br>When you are depressed,<br>When you are in a bad mood"
