metric,baseline,system,baseline_mean,system_mean,mean_diff,t_stat,t_p,cohens_dz,wilcoxon_stat,wilcoxon_p,rank_biserial_r,t_p_holm,wilcoxon_p_holm
rouge1,BART_Pretrain,Metagente,0.27721104510247907,0.3970975798852556,-0.1198865347827765,-12.357124155582703,6.337379448903162e-30,-0.6178562077791352,13529.0,4.345248472711482e-30,-0.6592234354731049,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,BART_XSUM,Metagente,0.3048487495662343,0.3970975798852556,-0.09224883031902124,-8.797986564645202,4.2488247064550206e-17,-0.43989932823226,19544.5,6.998930934668259e-18,-0.5002045774197673,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,GPT-4o,Metagente,0.22263014351077096,0.3970975798852556,-0.17446743637448459,-19.370816656958585,2.099018292636807e-59,-0.9685408328479292,5324.5,4.6661593901930323e-51,-0.8672194513715711,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,Gemma,Metagente,0.29046241132408185,0.3970975798852556,-0.10663516856117376,-11.03114365735391,7.088364350837589e-25,-0.5515571828676954,15517.0,1.0261037203169826e-25,-0.6071794741971824,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,Llama,Metagente,0.20315313157998666,0.3970975798852556,-0.1939444483052689,-20.47644974114062,3.2732719789606166e-64,-1.0238224870570312,4491.5,1.9079643373300934e-53,-0.8879925187032419,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,Mistral,Metagente,0.06244663966167344,0.3970975798852556,-0.33465094022358216,-35.48418441207677,1.7415602206249988e-125,-1.7742092206038382,64.0,2.9122878080658907e-66,-0.9983633806418617,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,Pegasus_Pretrain,Metagente,0.2418610264138765,0.3970975798852556,-0.1552365534713791,-13.922018252343953,3.446242020758706e-36,-0.6961009126171976,10817.0,2.8035617573605755e-36,-0.7275349176962507,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,Pegasus_XSUM,Metagente,0.3088160263608273,0.3970975798852556,-0.08828155352442836,-7.961076261221125,1.7912620994719947e-14,-0.3980538130610563,21059.5,1.9003879771079086e-15,-0.46146272855133613,1.7912620994719947e-14,1.9003879771079086e-15
rouge1,T5,Metagente,0.30763230885507853,0.3970975798852556,-0.08946527103017701,-8.067732655623443,8.483861231619155e-15,-0.4033866327811722,20652.5,2.7668119660027325e-16,-0.47453120626924156,1.7912620994719947e-14,1.9003879771079086e-15
rouge2,BART_Pretrain,Metagente,0.14865635148017803,0.17224668870170634,-0.023590337221528337,-2.4152915200400376,0.01617127414980466,-0.12076457600200188,28866.5,0.012830529608204157,-0.14968481206551196,0.03234254829960932,0.025661059216408315
rouge2,BART_XSUM,Metagente,0.12378929733418946,0.17224668870170634,-0.0484573913675169,-4.657603968036317,4.364392381124413e-06,-0.23288019840181584,15423.0,1.392648768676934e-09,-0.39184952978056425,0.041579208016991887,0.025661059216408315
rouge2,GPT-4o,Metagente,0.07613586613275197,0.17224668870170634,-0.0961108225689544,-10.930256657708384,1.6711325249342414e-24,-0.5465128328854193,9770.5,2.0622231649306676e-28,-0.6818722018722019,0.041579208016991887,0.025661059216408315
rouge2,Gemma,Metagente,0.14834656024477988,0.17224668870170634,-0.02390012845692649,-2.4718036370947036,0.013859736005663962,-0.12359018185473518,26967.5,0.016777696175980756,-0.1464630479506251,0.041579208016991887,0.016777696175980756
rouge2,Llama,Metagente,0.10298766903010544,0.17224668870170634,-0.06925901967160092,-7.419588530140011,7.139721935316545e-13,-0.37097942650700055,19757.5,5.6950824919728255e-12,-0.4148353275678237,0.041579208016991887,0.025661059216408315
rouge2,Mistral,Metagente,0.002367044623105165,0.17224668870170634,-0.16987964407860118,-18.145018741327025,4.389147896777595e-54,-0.9072509370663513,58.0,1.4743910846607322e-48,-0.9971931862175765,0.041579208016991887,0.025661059216408315
rouge2,Pegasus_Pretrain,Metagente,0.09720812623039643,0.17224668870170634,-0.07503856247130992,-6.663294573525588,8.914551103441072e-11,-0.33316472867627944,15022.5,1.3816266151027906e-14,-0.4817146800069001,0.041579208016991887,0.025661059216408315
rouge2,Pegasus_XSUM,Metagente,0.129881709592149,0.17224668870170634,-0.04236497910955734,-3.938071052359153,9.692862533626347e-05,-0.1969035526179576,17266.5,1.7442776710485496e-07,-0.33594215718323944,0.041579208016991887,0.025661059216408315
rouge2,T5,Metagente,0.14756061286111216,0.17224668870170634,-0.02468607584059419,-2.2054247429238103,0.02799390561148703,-0.1102712371461905,21594.5,0.000164826065758604,-0.23715910696622863,0.02799390561148703,0.025661059216408315
rougeL,BART_Pretrain,Metagente,0.23522244806294978,0.33972736085099825,-0.10450491278804845,-11.01737418435895,7.970512063991498e-25,-0.5508687092179474,15255.5,1.116341071521453e-26,-0.61765664160401,4.751276852054274e-12,5.384313645631045e-15
rougeL,BART_XSUM,Metagente,0.2594672251524123,0.33972736085099825,-0.080260135698586,-7.702774642371791,1.0632374640673483e-13,-0.3851387321185896,20546.0,1.9033415422961213e-15,-0.4638029124693356,4.751276852054274e-12,5.384313645631045e-15
rougeL,GPT-4o,Metagente,0.17327183177050404,0.33972736085099825,-0.16645552908049424,-18.796993338659696,6.532101995368859e-57,-0.9398496669329847,4894.5,2.77362416707386e-52,-0.8779426433915212,4.751276852054274e-12,5.384313645631045e-15
rougeL,Gemma,Metagente,0.2499215211657566,0.33972736085099825,-0.08980583968524165,-9.416048188331203,3.810684074741006e-19,-0.47080240941656015,18269.5,1.6852110446214124e-20,-0.5374985760034429,4.751276852054274e-12,5.384313645631045e-15
rougeL,Llama,Metagente,0.17406256435536413,0.33972736085099825,-0.16566479649563415,-18.132069194526768,4.99409636330694e-54,-0.9066034597263383,5934.0,2.404443111445965e-49,-0.8520199501246882,4.751276852054274e-12,5.384313645631045e-15
rougeL,Mistral,Metagente,0.05282316484745712,0.33972736085099825,-0.2869041960035411,-31.032765005950196,1.9938810864156468e-108,-1.55163825029751,83.0,3.36436007471028e-66,-0.9978775092699144,4.751276852054274e-12,5.384313645631045e-15
rougeL,Pegasus_Pretrain,Metagente,0.19888068820084392,0.33972736085099825,-0.14084667265015433,-12.660914091919475,4.064700166290001e-31,-0.6330457045959738,11429.5,7.913797141515021e-35,-0.7121069004168713,4.751276852054274e-12,5.384313645631045e-15
rougeL,Pegasus_XSUM,Metagente,0.25899678817352123,0.33972736085099825,-0.08073057267747703,-7.499222465300958,4.20106095420389e-13,-0.3749611232650479,20303.5,3.1153031921442943e-16,-0.4755040622053448,4.751276852054274e-12,5.384313645631045e-15
rougeL,T5,Metagente,0.2616374353642314,0.33972736085099825,-0.07808992548676684,-7.129747068058515,4.751276852054274e-12,-0.3564873534029258,21485.5,5.384313645631045e-15,-0.4533368954023866,4.751276852054274e-12,5.384313645631045e-15
bertscore_f1,BART_Pretrain,Metagente,0.5980249235033989,0.6439544298499823,-0.04592950634658337,-9.490921635497722,2.123821700213347e-19,-0.4745460817748861,18422.0,7.302637824293341e-21,-0.5405985037406483,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,BART_XSUM,Metagente,0.6152834872156382,0.6439544298499823,-0.0286709426343441,-5.57272587723095,4.6230198223235945e-08,-0.2786362938615475,26330.5,2.661655024932245e-09,-0.3433790523690773,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,GPT-4o,Metagente,0.5718788857758045,0.6439544298499823,-0.07207554407417774,-16.240313606860564,6.835143066629819e-46,-0.8120156803430282,8113.0,1.804672829577506e-43,-0.7976807980049875,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,Gemma,Metagente,0.5828210309147834,0.6439544298499823,-0.061133398935198785,-12.987265785388939,2.0619562576326137e-32,-0.6493632892694468,13512.0,1.4573489234769447e-30,-0.6630423940149626,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,Llama,Metagente,0.5260476637631655,0.6439544298499823,-0.11790676608681679,-22.17316190771616,1.4353277652199262e-71,-1.108658095385808,3037.0,9.458051031787279e-58,-0.9242643391521197,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,Mistral,Metagente,0.45188010297715664,0.6439544298499823,-0.19207432687282563,-27.490559264831727,4.1864682839117633e-94,-1.3745279632415863,400.0,5.435825978056144e-66,-0.9900249376558603,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,Pegasus_Pretrain,Metagente,0.5738451603800059,0.6439544298499823,-0.07010926946997642,-12.04042156577268,1.0764845955859834e-28,-0.6020210782886339,14181.0,3.974886133980219e-29,-0.646359102244389,9.246039644647189e-08,1.407817123828858e-07
bertscore_f1,Pegasus_XSUM,Metagente,0.6142343150824309,0.6439544298499823,-0.02972011476755142,-5.530888762662376,5.7732545401659525e-08,-0.2765444381331188,27920.0,1.407817123828858e-07,-0.30374064837905235,5.7732545401659525e-08,1.407817123828858e-07
bertscore_f1,T5,Metagente,0.566289027184248,0.6439544298499823,-0.0776654026657343,-13.24583933725654,1.9020899849934474e-33,-0.662291966862827,12399.0,4.9550363221648995e-33,-0.6907980049875312,9.246039644647189e-08,1.407817123828858e-07
semantic_bert_cosine,BART_Pretrain,Metagente,0.6658916053920985,0.6559740130975843,0.00991759229451418,1.365448397531151,0.1728814525561915,0.06827241987655755,37438.0,0.24992860637646286,0.06638403990024938,0.9423076438608318,0.4998572127529257
semantic_bert_cosine,BART_XSUM,Metagente,0.5915486063808203,0.6559740130975843,-0.06442540671676397,-7.496788189435766,4.2699798904455613e-13,-0.37483940947178834,23800.0,1.8559577596282713e-12,-0.40648379052369077,0.9423076438608318,0.7273421395448824
semantic_bert_cosine,GPT-4o,Metagente,0.6669083758130728,0.6559740130975843,0.010934362715488533,1.6816107630825234,0.09342681184199389,0.08408053815412617,35455.0,0.04468792259398155,0.11583541147132169,0.9423076438608318,0.7273421395448824
