sample_id,system,rouge1,rouge2,rougeL,bertscore_f1,semantic_bert_cosine
0,SYS_A,0.7058823529411764,0.6666666666666666,0.7058823529411764,0.7997689247131348,0.64902663230896
1,SYS_A,0.1904761904761905,0.0,0.09523809523809525,0.45056262612342834,0.33926182985305786
2,SYS_A,0.2,0.0,0.2,0.5857034921646118,0.7427084445953369
3,SYS_A,0.380952380952381,0.10526315789473685,0.2857142857142857,0.6632792949676514,0.7240066528320312
4,SYS_A,0.30769230769230765,0.0,0.15384615384615383,0.5857370495796204,0.6440168023109436
5,SYS_A,0.16,0.08695652173913043,0.16,0.6257707476615906,0.7063429951667786
6,SYS_A,0.2,0.0,0.1,0.5797948241233826,0.4771595001220703
7,SYS_A,0.1,0.0,0.1,0.4764143228530884,0.21857279539108276
8,SYS_A,0.3636363636363636,0.22222222222222224,0.3636363636363636,0.5728923082351685,0.6980693936347961
9,SYS_A,0.19047619047619047,0.0,0.09523809523809523,0.5351670384407043,0.38978347182273865
10,SYS_A,0.8,0.608695652173913,0.8,0.8362250328063965,0.8490570783615112
11,SYS_A,0.48,0.17391304347826086,0.4,0.7343578934669495,0.868401050567627
12,SYS_A,0.2222222222222222,0.0,0.1111111111111111,0.53734290599823,0.6712874174118042
13,SYS_A,0.8750000000000001,0.8571428571428571,0.8750000000000001,0.5834085941314697,0.6285260319709778
14,SYS_A,0.29411764705882354,0.0,0.23529411764705882,0.6134727597236633,0.3769022226333618
15,SYS_A,0.5217391304347826,0.09523809523809525,0.34782608695652173,0.570000171661377,0.5096116065979004
16,SYS_A,0.2608695652173913,0.0,0.17391304347826086,0.5970738530158997,0.6355234384536743
17,SYS_A,0.3333333333333333,0.25000000000000006,0.3333333333333333,0.5724917054176331,0.5042659640312195
18,SYS_A,0.761904761904762,0.4210526315789474,0.5714285714285714,0.7864735126495361,0.7571378946304321
19,SYS_A,0.4,0.2608695652173913,0.32,0.685701310634613,0.7815300226211548
20,SYS_A,0.2608695652173913,0.0,0.17391304347826086,0.5690940022468567,0.5202845335006714
21,SYS_A,0.2727272727272727,0.10000000000000002,0.2727272727272727,0.6048163175582886,0.5640187859535217
22,SYS_A,0.6363636363636364,0.4,0.6363636363636364,0.7513831853866577,0.8735910654067993
23,SYS_A,0.4347826086956522,0.28571428571428575,0.34782608695652173,0.5694817304611206,0.6160606145858765
24,SYS_A,0.5454545454545455,0.3,0.3636363636363637,0.644184410572052,0.7292134761810303
25,SYS_A,0.2608695652173913,0.0,0.17391304347826086,0.6157241463661194,0.642524778842926
26,SYS_A,0.5,0.0,0.25,0.5749683976173401,0.7841023206710815
27,SYS_A,0.2727272727272727,0.0,0.18181818181818182,0.5458441376686096,0.6066426634788513
28,SYS_A,0.06666666666666667,0.0,0.06666666666666667,0.5239742398262024,0.5062950849533081
29,SYS_A,0.3333333333333333,0.2,0.3333333333333333,0.5672491788864136,0.5090087056159973
30,SYS_A,0.5333333333333333,0.15384615384615383,0.39999999999999997,0.6285778284072876,0.6386070847511292
