App Name,description_short,extracted_short_desc
com.akiraplc.smartschoolerppro,"Easy way to monitor daily activities of Smart School students fees, exam results"," Smart School is a cloud-based app for seamless communication between students, teachers, and parents. Access student profiles, attendance, timetables, leave requests, assignments, and more."
com.axa.android.smartclaims.ch,"Your helper when something happens: assistance, claim, contracts, documents", AXA app: Digital insurance card & emergency hotline with contract access.
com.zaplox.premium.nexthouse,Next House Copenhagen check-in app provide you with an easy way to get your key," Streamline your hostel check-in with Next House Copenhagen's app!"""
com.montanastudios.blastmosaic,Can you complete the mosaic with a blast?, Solve colorful puzzles with limited cannonballs before time runs out!
com.MomentumHealth,Momentum Health app for Android -- Now It's Even Easier to Be Engaged!," Stay healthy with Momentum Health\n\nSummary: Momentum Health app offers unlimited access to corporate wellness programs, including biometric screenings, health surveys, coaching, and wearable-device integration."
com.bluesg.androidapp,"BlueSG, the first and only electric vehicle A-B car-sharing service in Singapore"," Seamless, eco-friendly electric car sharing with BlueSG. Access 100% electric vehicles 24/7, sign up with Singpass.\n\nConfidence: 95%"
com.apowersoft.picwish,background remover✅get transparent background✅photo eraser: cut out photos," Remove background from portrait photos instantly with PicWish, the automatic photo background remover powered by AI.\n\nLong Description: PicWish is an automatic photo background remover that allows you to remove background from portrait photos with a single click. The app's clever AI technology recognizes portrait photos and provides a perfect cutout in just a few seconds. If you're looking for an easy and efficient way to remove backgrounds from your images, PicWish is the perfect choice. Try it now!"""
com.foodtec.marcos,The official mobile app for Marco's Pizza is now here!," Order, track & save with Marco's Pizza!\nSummary: The Marco’s app offers easy ordering, quick access to store locations, tracking of loyalty points, and access to exclusive deals and offers."""
net.soti.surf,Securely browse the web and access your organization's web content on the go.," SOTI Surf is a secure mobile browser for accessing your organization's web content on Android devices. It offers customizable settings, data loss prevention, and kiosk mode.\n\nConfidence: 95%"""
com.tikoyapps.gameofthegeneraltikoy,"Scheme, bluff, and deceive your way to victory with The Generals board game!"," Play face-to-face with friends in The Generals board game! Host or join a game, arrange pieces, and deceive opponents. Stable internet required.\n\nConfidence: 95%"
com.jayanthsrinivasan.signlangapp,An app for learning the basics of sign language," Learn American, British, and Indian Sign Language with interactive games and quizzes in this user-friendly app."
com.blfour.facecamrecorder,Quick Screen Recorder provides to record videos of your mobile screen., Record & share HD screen activity with facecam using Quick Screen Recorder!
au.com.rideon.android,Purchase discounted ride tickets for Kiddie Rides and get cool rewards," Save on Kiddie Ride tickets\n\nSummary: The Let's Ride app lets users pre-purchase discounted ticket bundles for Kiddie Rides, saving both money and time at shopping centers."""
lessons.interesting.facts,All Facts around the world – find every interesting fact, Discover intriguing facts in 9 categories with the Interesting Facts app.
app.saferentals,The application that allows you to rent any type of vehicle with a driver," Rent cars, bikes, or helicopters with Safe Rentals - Your one-stop app for diverse vehicle rentals!"
com.telldus.flow,Automate your home with Telldus TellStick," Control your Smartline Flow devices locally, no hub needed\n\nSummary: The new Telldus Flow app simplifies login with one-time passwords and allows local control of Smartline Flow devices without a hub. It also supports remote control of both Smartline Flow and existing 433/Z-wave devices, and includes easy-to-use automation cards and monitor setup for gateways. A TellStick Flow is required for Smartline Flow device control. Existing Smartline Flow app users can migrate using the Migration function in the app. Note"
com.classoforcs,please rotate screen to horizontal before launch game., Command an orc horde in real-time PVP battles. Defeat other players and destroy their castles first in this 2D strategy game.
com.toucangames.grand.city.battle.auto.theft,Build Criminal Empire with Auto Gangster in Grand City Games,"\nImmerse in the gangster life in this open-world game, completing missions, building your empire, and engaging in street fights."
com.poppy.playtime.devpark,All fun and Scary in poppy playtime horror game.," Survive the horror & solve puzzles in the Poppy Playtime world; immerse in fun & fear."""
project.tnguy190.calpoly.edu.smplayer,"A lightweight, simple music player."," SM Player - Simple MP3 Music Player\n\nSummary: SM Player is a no-frills music player that focuses on the essentials, enabling users to create playlists and play .mp3 files with ease."
com.enablon.inspection,Enablon Inspection solution is designed to securely create and answer checklists," Enablon Inspection\n\nSummary: Enablon Inspection is a secure app that guides users through checklists and automatically switches to offline mode. It allows users to easily perform inspections, create observations, and access data on-the-go, with a focus on sustainability, EH&S, and operational risk management."
com.ambulanciasdomingo.miambulancia,The ambulance locator by ambulancias DOMINGO," Track DOMINGO ambulance in real-time with myAMBULANCE app, view route & estimated arrival time."
com.specialistapps.waimangu,Enhancing your experience through augmented reality at Waimangu Volcanic Valley," Explore Waimangu Volcanic Valley\'s history with AR, plan your trip, and share your journey through photos and notes.\n\nLong Description: This app offers an immersive experience of Waimangu Volcanic Valley, connecting visitors with its rich cultural and geological history through augmented reality. Users can rediscover the Pink and White Terraces and bring the Waimangu Geyser back to life. The app also includes practical features such as a valley map, points of interest, bus and boat schedules, and a ""My Journey"" feature for taking and saving photos,"
com.cisco.it.estore.android.setup,Provides secure access to mobile apps and services for Cisco employees., Securely access Cisco mobile apps and services with the Cisco eStore Mobile Setup app.
com.getpetly.app,"Search over 300,000 animals at nearly 14,000 shelters across the country."," Find your new best friend!\n\nSummary: Petly is an app that lets you search over 300,000 animals from nearly 14,000 shelters across the US. Connect with your partner to match on pets you both like and call or email shelters directly from the app. A percentage of earnings is donated to local shelters."
com.callumsmith.whatword,The most fun word game!," Guess the 5-letter word in this fun, addictive game!"
com.technob.movienews,Movie Diary is a Simple Application for get Details of Movies.," Movie Diary offers quick opinions, ratings, reviews, trailers, and notifications for movies from IMDb and TheMovieDB. Discover trending movies, check in to what you're watching, and enjoy a sleek, material design."""
com.goldathletics.dgcapp,Access your local Gold Card discounts PLUS thousands more offers!," Get deals on the go!\n\nSummary: GoldDeals+ offers digital access to local and national discounts for Gold Card holders, plus thousands more deals for free."
com.taralwallet,"Tarality, you can manage Bitcoin, Ethereum, BNB token right on your mobile phone"," Manage Bitcoin, Ethereum, and BNB on-the-go with Tarality Wallet\n\nSummary: Tarality Wallet allows users to manage Bitcoin, Ethereum, and BNB token on their mobile phones. The app features instant transfers among users, QR code payment system, real-time fiat value display, and biometric authentication for login and transactions."
com.shimano.etubeprojectmobile.droid.phone,Customize DI2 electric shifting in addition to the E-BIKE assist power program., Customize electric shifting & e-bike assist for optimal trail rides with this smartphone app. Auto-shift to your favorite gear at stops.
game.libra.dragon,LibraDragon is an innovative blockchain game.," LibraDragon is a blockchain-based game experiment, combining traditional mobile game resources with advanced blockchain technology. It introduces the ""Consensus Game"" concept and a new ""Proof of Playing"" mechanism for fair rewards."
com.link.autolink,Autolink is an specially APP for the combination of vehicle and mobile phones.," Safe driving with phone functions mirrored on your car screen."""
com.appmarket.mycodes,Best communication app available for android users.," Connect with new friends on Bumble! Share feelings, chat instantly, and send gifts. See who's nearby and view profile visitors."""
com.hk.poems.poemsMobileFX,"Smart trading around the world. Share trading anytime, anywhere!", Trade smarter with real-time market access and easy order management.
