description_html_clean,description_short,similarity,similarity_bin
"The KTXS News app delivers news, weather and sports in an instant. With the new and fully redesigned app you can watch live newscasts, get up-to-the minute local and national news, weather and traffic conditions and stay informed via notifications alerting you to breaking news and local events.  •  Breaking news alerts and stories•  Live streaming•  Weather section with hourly and daily forecasts•  Live weather radar and traffic information","The KTXS News app delivers news, weather and sports in an instant.",0.92867583,0.9+
"Add one more source of delivery and grow your income.Deliver More, Earn More. Delivery Smarter, Earn Better.",Add one more source of delivery and grow your income.,0.91382766,0.9+
"Do you love WA Video Downloader - Whatsapp Status Saver App and video status of friends ? Looking for whatsapp video downloader ? Then whatsapp status saver & whatsapp status video download is the right application for you. Status Downloader for whatsapp, whatsapp business, facebook video downloader, instagram post downloader, instagram story saver, instagram reels video downloader & tiktok video downloader.By using status download app, you can save, download any wa status images, videos, reels, status or post from whatsapp, whatsapp business, facebook, instagram and TikTok videos including musically video status download that you love. Now its very easy to save status, videos status of any friends that you love the most in FREE. No need to ask your friends to send wa status to you. You can save any videos using this video downloader app.Video downloader, video download is best video status and video downloader app that you will. This video downloader app enables you to download videos from most popular social media apps.Dual App:  If you want to save statuses of dual (clone) whatsapp status, then you have to create dual app (clone) of this app as well.Most exciting features of status saver app:→   Save, Share and Delete your friends whatsapp status.→   Delete not used status from long time.→   Save, Share and Delete your friends whatsapp business status for FREE.→   Save, Share, Re-Post your friends instagram post, videos and images.→   Save, Share, Re-Post your friends instagram story, videos and images.→   Download any facebook video and use it as you want.→   Whatsapp direct - Send message to any whatsapp number without saving number. You         can also pick number from recent call list.→   Download any videos from musically→   Download any videos from tiktok→   Save, Share and Delete your GB whatsapp statuses for FREE.→   Save, Share and Delete your Parallel Space for FREE.→   Save, Share and Delete your Parallel Space Lite for FREE.Status Saver is completely free. Status Saver provides all paid features in FREE then why you want to PAY. So just download the Status Saver app and enjoy all features in FREE.So this video downloader is good wa status saver is one stop solution for all of your problems and it act as all social media downloader.Best status saver, best video statuses are being added daily. Use image and video statuses to share with friends. Use daily video status downloader, share this status download app with all of your friends. Enjoy best whatsapp status videos. We are adding funny video, comedy video that makes you laugh. Use this best video status app daily and share it with all of your status lover friends.Note: This video status downlaoder is not related to and is not affiliated with any 3rd Party including Whatsapp inc., Instagram, Facebook or TikTok or Musically app. This status saver is not use to clone or hack anything, it just display downloaded files in app. We never share any user data or never use it for any of our personal purpose. This best status saver app is not using any pictures, videos or any other content for any other purposes.So rest assured and feel free to install whatsapp status saver & use this status app.","whatsapp status download, facebook, insta, status video downloader satus saver",0.8533077,0.85-0.9
"Pakistani girls Muslim Girls Chat Room a free dating application is an indian Dating Apps in which you can date desi girls free chat. You can Find Muslim Girls to chat with and you can do online romance. You can do desi online dating and you can find pakistani love couple and  indian love couple.  Pakistani girl Muslim Girl chat room is the best app for desi chat and to find nearby girls to girl chat with muslim girls in Pakistan. You will be able to make girl friends online and meet girls nearby. You will be able to get desi aunty phone numbers and get pakistani girls phone numbers. Our app contains online girls pictures and desi aunty pictures. The core functionality of our online desi dating apps is to provide a platform to young boys and young girls to date desi girls and date desi aunties. Pakistani Girl Chat is an online dating app for people who are looking for real connections and friends. People can meet desi girls and get pakistani girls number and desi aunties number. Our app has a variety of users including pakistani aunties , indian girls and indian aunties. This app enables you to get desi aunty phone numbers and eventually you can meet with islamabadi aunty.Pakistani Girls Chat is a very special app for online chat room app which can be used for either dating online or just for flirt online. The boys can meet with girls online شات بنات and live chat with them and they can find beautiful girls for dating.Pakistani Girls marriage chat room is based on random chat تعارف بنات, which means that you can do random chat with girls from all around the country.Pakistani girl Muslim Girl chat room app has users from all cities of Pakistan including the following cities Bahawalpur Sialkot Karachi Giligit Lahore Islamabad Pishawar Faisalabad Kasur Mardan Chiniot Mingora Nawabshah sakhar multan sargodha دردشه بنات so you're either a saraiki girl, or punjabi girl, or a  pakhtun girl or a, balochi girl, or a  sindhi girl you can find match in this free dating app.App Features:* Swipe through thousands of profiles of online users near you.* Send messages to girls/boys you like near you.* View full profile of a person* Add a girl or boy to list of your favorite people to talk to them later.* The ability to send a star to others.",Pakistani girls Muslim girls Chat Room a free Dating App for indian dating apps,0.87429047,0.85-0.9
"Tip Calculator and Bill Splitter is an easy way to divide the restaurant bill between your friends, helping you to calculate the gratuity and the taxes per person, and after you are done you can share it with your friends.The app is absolutely free!: We made the most beautiful design, without the need to show any fancy background pictures that only make the app more complicated to use.This tip calculator app not only calculates tip quickly and easily but also helps to split the bill between any number of people.Round up or round down on any value on the tip calculator and see changes to the tip percentage, tip amount, total amount, and amount payable per person immediately!No Ads & Simple to use. Quick Calculations & Results.",Tip Calculator & Bill Splitter is an easy way to divide the restaurant bill.,0.8501345,0.85-0.9
"BTTalk is the Midland App for two-way radio communication between people and groups, especially created for the motorbike riders.There are no limits of distance or number of people who can talk to each other. Everyone can talk to everyone, just like a walkie talkie.BTTalk uses any Internet connection: 2G, 3G, 4G or a WiFi network. Combined with Midland BTT Button, the handlebar wireless PTT button, it becomes even easier to talk bike to bike.",BTTalk is Midland's two way radio app to comunicate between motorbike riders.,0.89345074,0.85-0.9
Italian for Kids is a free educational application to learn basic Italian words in a fun way.Categories of Italian for Kids-Animals-Numbers-Fruits-Vegetables-Colors-Transport-Countries-Occupations-School Objects-Verbs-Sports-Music Instruments-Clothes-Foods-Kitchen-BathroomParts of Italian for KidsLearning: A random Italian word from the selected category is displayed with its picture and pronunciationGame 1: One random picture from the selected category is displayed and you are asked to select the correct Italian word from the options.Game 2: One random Italian word from the selected category is displayed and you are asked to select the correct picture from the options.,Italian for Kids is an application to learn basic Italian words,0.8860431,0.85-0.9
Race through space - pickup coins - get a high score!-----Control a ship as you race and dodge the traffic.  Pickup coins to get an extra 1000 points!High Score Board coming soon!,Race through space - pickup coins - get a high score!,0.875445,0.85-0.9
"The official Medford School District 549C app gives you a personalized window into what is happening at the district and schools. Get the news and information that you care about and get involved.            Anyone can:             -View District and school news             -Use the district tip line             -Receive notifications from the district and schools             -Access the district directory             -Display information personalized to your interests              Parents and students can:              -View grades, assignments, and attendance              -View and add contact information",The official Medford School District 549C app!,0.86862224,0.85-0.9
"MD Job (previously M1d job) is an advertising agency, By using this app we can search for different types of jobs in India and overseas countries. Here you can find general Helpline No. MD job(previously M1d) is a handy app for searching for jobs.MD Job, M1D Job, Mdjob",MD Job (M1d) is an advertisers agency,0.8502406,0.85-0.9
